,Tuple,Count,Start X,Start Y,End X,End Y
33684,"(40.73532, -74.00482, 40.73555, -74.00336)",48,40.73532,-74.00482,40.73555,-74.00336
33685,"(40.70067, -73.99522, 40.70072, -73.9952)",7,40.70067,-73.99522,40.70072,-73.9952
33686,"(40.69612, -73.98448, 40.69611, -73.98411)",1,40.69612,-73.98448,40.69611,-73.98411
33687,"(40.69465, -73.98112, 40.69464, -73.98072)",8,40.69465,-73.98112,40.69464,-73.98072
33688,"(40.70247, -73.99589, 40.70217, -73.99602)",33,40.70247,-73.99589,40.70217,-73.99602
33689,"(40.7812, -73.96952, 40.78126, -73.96949)",26,40.7812,-73.96952,40.78126,-73.96949
33690,"(40.77791, -73.96664, 40.77804, -73.96656)",27,40.77791,-73.96664,40.77804,-73.96656
33691,"(40.7371, -73.99035, 40.7371, -73.99035)",366,40.7371,-73.99035,40.7371,-73.99035
33692,"(40.70194, -74.01061, 40.70198, -74.01043)",1,40.70194,-74.01061,40.70198,-74.01043
33693,"(40.69766, -73.98592, 40.69766, -73.986)",1,40.69766,-73.98592,40.69766,-73.986
33694,"(40.75375, -74.00692, 40.75377, -74.00697)",28,40.75375,-74.00692,40.75377,-74.00697
33695,"(40.78014, -73.94721, 40.78007, -73.94703)",4,40.78014,-73.94721,40.78007,-73.94703
33696,"(40.70171, -74.01277, 40.70169, -74.01275)",299,40.70171,-74.01277,40.70169,-74.01275
33697,"(40.71168, -74.00588, 40.71168, -74.00588)",63,40.71168,-74.00588,40.71168,-74.00588
33698,"(40.76219, -73.9836, 40.76264, -73.98332)",127,40.76219,-73.9836,40.76264,-73.98332
33699,"(40.76345, -73.96522, 40.76381, -73.96496)",153,40.76345,-73.96522,40.76381,-73.96496
33700,"(40.75391, -73.97979, 40.75354, -73.97892)",105,40.75391,-73.97979,40.75354,-73.97892
33701,"(40.69979, -73.9831, 40.69984, -73.98293)",38,40.69979,-73.9831,40.69984,-73.98293
33702,"(40.73216, -73.98046, 40.73216, -73.98052)",95,40.73216,-73.98046,40.73216,-73.98052
33703,"(40.72917, -74.00121, 40.7294, -74.00167)",179,40.72917,-74.00121,40.7294,-74.00167
33704,"(40.71689, -73.99174, 40.71625, -73.99207)",441,40.71689,-73.99174,40.71625,-73.99207
33705,"(40.6916, -73.99913, 40.69157, -73.99904)",2,40.6916,-73.99913,40.69157,-73.99904
33706,"(40.74349, -74.00882, 40.74348, -74.00879)",88,40.74349,-74.00882,40.74348,-74.00879
33707,"(40.7014, -74.01227, 40.70138, -74.01225)",76,40.7014,-74.01227,40.70138,-74.01225
33708,"(40.70206, -74.00918, 40.70203, -74.00923)",428,40.70206,-74.00918,40.70203,-74.00923
33709,"(40.7241, -73.95775, 40.72404, -73.95776)",187,40.7241,-73.95775,40.72404,-73.95776
33710,"(40.78415, -73.96656, 40.78414, -73.96647)",2,40.78415,-73.96656,40.78414,-73.96647
33711,"(40.7208, -73.98181, 40.72066, -73.98136)",26,40.7208,-73.98181,40.72066,-73.98136
33712,"(40.74331, -73.95125, 40.74356, -73.95119)",11,40.74331,-73.95125,40.74356,-73.95119
33713,"(40.74214, -73.98706, 40.74153, -73.98749)",21,40.74214,-73.98706,40.74153,-73.98749
33714,"(40.78404, -73.96616, 40.78401, -73.96606)",2,40.78404,-73.96616,40.78401,-73.96606
33715,"(40.75381, -74.00712, 40.75384, -74.00719)",47,40.75381,-74.00712,40.75384,-74.00719
33716,"(40.68608, -73.9909, 40.68608, -73.9909)",9,40.68608,-73.9909,40.68608,-73.9909
33717,"(40.78553, -73.9853, 40.78568, -73.9852)",7,40.78553,-73.9853,40.78568,-73.9852
33718,"(40.75397, -73.97217, 40.75308, -73.97006)",38,40.75397,-73.97217,40.75308,-73.97006
33719,"(40.68755, -73.98035, 40.68741, -73.97989)",14,40.68755,-73.98035,40.68741,-73.97989
33720,"(40.70711, -74.01621, 40.70707, -74.01623)",760,40.70711,-74.01621,40.70707,-74.01623
33721,"(40.77003, -73.98468, 40.77101, -73.98699)",8,40.77003,-73.98468,40.77101,-73.98699
33722,"(40.72103, -74.01191, 40.72148, -74.01182)",9,40.72103,-74.01191,40.72148,-74.01182
33723,"(40.74363, -73.95118, 40.74356, -73.95119)",4,40.74363,-73.95118,40.74356,-73.95119
33724,"(40.70442, -73.94782, 40.70461, -73.94785)",88,40.70442,-73.94782,40.70461,-73.94785
33725,"(40.68713, -73.99361, 40.68676, -73.99379)",8,40.68713,-73.99361,40.68676,-73.99379
33726,"(40.77377, -73.97128, 40.77369, -73.97094)",297,40.77377,-73.97128,40.77369,-73.97094
33727,"(40.72294, -73.95222, 40.72309, -73.95207)",19,40.72294,-73.95222,40.72309,-73.95207
33728,"(40.70877, -73.95111, 40.70843, -73.95134)",5,40.70877,-73.95111,40.70843,-73.95134
33729,"(40.71923, -73.99066, 40.7192, -73.99055)",40,40.71923,-73.99066,40.7192,-73.99055
33730,"(40.77166, -73.99473, 40.77169, -73.99471)",422,40.77166,-73.99473,40.77169,-73.99471
33731,"(40.76244, -74.00106, 40.7625, -74.00098)",674,40.76244,-74.00106,40.7625,-74.00098
33732,"(40.70179, -73.99621, 40.70188, -73.99615)",23,40.70179,-73.99621,40.70188,-73.99615
33733,"(40.67968, -73.97825, 40.67958, -73.97831)",1,40.67968,-73.97825,40.67958,-73.97831
33734,"(40.68693, -73.98483, 40.68778, -73.987)",3,40.68693,-73.98483,40.68778,-73.987
33735,"(40.70396, -73.98861, 40.70387, -73.98856)",1,40.70396,-73.98861,40.70387,-73.98856
33736,"(40.76865, -73.96982, 40.76869, -73.96993)",30,40.76865,-73.96982,40.76869,-73.96993
33737,"(40.69321, -73.97187, 40.69321, -73.97187)",48,40.69321,-73.97187,40.69321,-73.97187
33738,"(40.72568, -74.00585, 40.72568, -74.00574)",181,40.72568,-74.00585,40.72568,-74.00574
33739,"(40.75843, -73.99265, 40.75885, -73.99235)",298,40.75843,-73.99265,40.75885,-73.99235
33740,"(40.70896, -73.95951, 40.70917, -73.96012)",1,40.70896,-73.95951,40.70917,-73.96012
33741,"(40.72488, -73.99227, 40.72523, -73.99215)",12,40.72488,-73.99227,40.72523,-73.99215
33742,"(40.72842, -73.99969, 40.72735, -74.00061)",437,40.72842,-73.99969,40.72735,-74.00061
33743,"(40.70019, -73.99081, 40.69982, -73.99098)",3,40.70019,-73.99081,40.69982,-73.99098
33744,"(40.6879, -73.99551, 40.68823, -73.99533)",3,40.6879,-73.99551,40.68823,-73.99533
33745,"(40.73395, -73.9778, 40.73375, -73.97729)",45,40.73395,-73.9778,40.73375,-73.97729
33746,"(40.75051, -74.00864, 40.75059, -74.00863)",759,40.75051,-74.00864,40.75059,-74.00863
33747,"(40.72741, -73.99228, 40.72716, -73.99174)",264,40.72741,-73.99228,40.72716,-73.99174
33748,"(40.70698, -74.01609, 40.70694, -74.01611)",54,40.70698,-74.01609,40.70694,-74.01611
33749,"(40.76437, -73.97321, 40.76428, -73.97302)",25,40.76437,-73.97321,40.76428,-73.97302
33750,"(40.64902, -74.00624, 40.64846, -74.00682)",1,40.64902,-74.00624,40.64846,-74.00682
33751,"(40.73423, -73.99973, 40.73419, -73.99971)",186,40.73423,-73.99973,40.73419,-73.99971
33752,"(40.72757, -73.955, 40.72785, -73.95516)",9,40.72757,-73.955,40.72785,-73.95516
33753,"(40.71517, -73.98709, 40.71531, -73.98704)",154,40.71517,-73.98709,40.71531,-73.98704
33754,"(40.7128, -73.96558, 40.71276, -73.96541)",14,40.7128,-73.96558,40.71276,-73.96541
33755,"(40.72869, -73.97178, 40.72858, -73.97177)",5,40.72869,-73.97178,40.72858,-73.97177
33756,"(40.77, -73.97135, 40.77006, -73.9713)",232,40.77,-73.97135,40.77006,-73.9713
33757,"(40.769, -73.9804, 40.76902, -73.98035)",87,40.769,-73.9804,40.76902,-73.98035
33758,"(40.68552, -73.97801, 40.68509, -73.97795)",98,40.68552,-73.97801,40.68509,-73.97795
33759,"(40.72942, -74.00613, 40.72939, -74.00587)",147,40.72942,-74.00613,40.72939,-74.00587
33760,"(40.7027, -73.98853, 40.70259, -73.98854)",5,40.7027,-73.98853,40.70259,-73.98854
33761,"(40.71145, -74.00421, 40.71143, -74.00424)",1,40.71145,-74.00421,40.71143,-74.00424
33762,"(40.7736, -73.95778, 40.77266, -73.95556)",23,40.7736,-73.95778,40.77266,-73.95556
33763,"(40.7431, -73.98212, 40.74325, -73.98201)",75,40.7431,-73.98212,40.74325,-73.98201
